tournament,bracket,team1name,team2name,team1wins,team2wins,time
GDCV,GROUPS PHASE 2POOL 1,Asynchronous Floundering,Chad Lads,3,0,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 1,I Column Like I See Em,Wu-Dang Clan,2,1,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 1,Asynchronous Floundering,Dope Shit Required,2,1,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 1,I Column Like I See Em,Chad Lads,1,2,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 1,Asynchronous Floundering,I Column Like I See Em,3,0,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 1,Wu-Dang Clan,Dope Shit Required,1,2,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 1,Asynchronous Floundering,Wu-Dang Clan,2,1,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 1,Chad Lads,Dope Shit Required,0,3,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 1,Chad Lads,Wu-Dang Clan,1,2,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 1,Dope Shit Required,I Column Like I See Em,2,1,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 2,abcDe,Who Dat,1,2,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 2,Can't We All Enjoy Bojangles?,Pfizer Nation,3,0,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 2,abcDe,Antibodied,3,0,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 2,Can't We All Enjoy Bojangles?,Who Dat,2,1,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 2,abcDe,Can't We All Enjoy Bojangles?,3,0,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 2,Pfizer Nation,Antibodied,1,2,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 2,abcDe,Pfizer Nation,3,0,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 2,Who Dat,Antibodied,3,0,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 2,Who Dat,Pfizer Nation,3,0,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 2,Antibodied,Can't We All Enjoy Bojangles?,1,2,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 3,War Bees,SF AF,1,2,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 3,Violent J,Bing Bong,1,2,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 3,War Bees,sallaD,1,2,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 3,Violent J,SF AF,2,1,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 3,War Bees,Violent J,1,2,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 3,Bing Bong,sallaD,3,0,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 3,War Bees,Bing Bong,3,0,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 3,SF AF,sallaD,0,3,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 3,SF AF,Bing Bong,2,1,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 3,sallaD,Violent J,3,0,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 4,Los Que Si Juegan,Spawns of Satan,3,0,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 4,Death Saving Throws,Continuous Beelivery,1,2,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 4,Los Que Si Juegan,Escape From New York,3,0,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 4,Death Saving Throws,Spawns of Satan,1,2,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 4,Los Que Si Juegan,Death Saving Throws,3,0,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 4,Continuous Beelivery,Escape From New York,2,1,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 4,Los Que Si Juegan,Continuous Beelivery,3,0,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 4,Spawns of Satan,Escape From New York,1,2,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 4,Spawns of Satan,Continuous Beelivery,3,0,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 4,Escape From New York,Death Saving Throws,2,1,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 5,Britney's New Legal Team,Bonus Damage,0,3,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 5,Freeattle Frees,Snail Salon 💅,2,1,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 5,Britney's New Legal Team,Mountain Drew,2,1,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 5,Freeattle Frees,Bonus Damage,0,3,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 5,Britney's New Legal Team,Freeattle Frees,2,1,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 5,Snail Salon 💅,Mountain Drew,2,1,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 5,Britney's New Legal Team,Snail Salon 💅,2,1,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 5,Bonus Damage,Mountain Drew,3,0,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 5,Bonus Damage,Snail Salon 💅,2,1,2021-09-24T15:00:01-0800
GDCV,GROUPS PHASE 2POOL 5,Mountain Drew,Freeattle Frees,0,3,2021-09-24T15:00:01-0800
GDCV,GRPS PHS 1POOL 1,Asynchronous Floundering,abcDe,2,1,2021-09-24T12:00:01-0800
